region,city,district,median_ppsqm,count,mean_ppsqm,std_ppsqm,ltype
منطقة الرياض,الرياض,السدرة,9666.666666666668,4,7968.333333333334,4915.520770421425,sale
منطقة الرياض,الرياض,السعادة,5845.238095238095,266,5662.777257083168,1848.9337575081067,sale
منطقة الرياض,الرياض,السلام,5804.511278195489,46,5914.528940544366,2113.95088002725,sale
منطقة الرياض,الرياض,السلي,3437.5,31,5065.411650675406,5350.3607844376775,sale
منطقة الرياض,الرياض,السليمانية,10709.267313482771,14,11466.453996563878,3432.295781655032,sale
منطقة الرياض,الرياض,السويدي,4677.419354838709,214,8010.025130585147,20420.102429694445,sale
منطقة الرياض,الرياض,السويدي الغربي,5932.203389830508,94,6310.571264951604,4051.5927605952093,sale
منطقة الرياض,الرياض,الشرفية,8001.233045622688,5,13155.590476608346,9785.171296257005,sale
منطقة الرياض,الرياض,الشعلة,699.0,73,710.918413561877,172.97801336876526,sale
منطقة الرياض,الرياض,الشفا,3560.2094240837696,195,22013.447046492784,46151.74056265276,sale
منطقة الرياض,الرياض,الشميسي,4500.0,17,6884.761254124079,11156.988807701973,sale
منطقة الرياض,الرياض,الشهداء,10000.0,59,11103.404778075896,12352.585079843902,sale
منطقة الرياض,الرياض,الصالحية,3658.5365853658536,8,3717.6802377949516,1493.435197276728,sale
منطقة الرياض,الرياض,الصحافة,12000.0,148,14076.789043438039,7516.819267683555,sale
منطقة الرياض,الرياض,الصفا,6500.0,41,6792.010184337612,3119.505061939638,sale
منطقة الرياض,الرياض,الصناعية,6814.310051107325,13,11915.28629933874,14469.373072384224,sale
منطقة الرياض,الرياض,الضباط,8904.109589041096,5,9647.488584474886,2246.7067795756757,sale
منطقة الرياض,الرياض,العارض,10277.777777777777,1011,10427.999050134333,6874.121541422148,sale
منطقة الرياض,الرياض,العريجاء,6825.0,22,6640.246211362825,3591.6731005288243,sale
منطقة الرياض,الرياض,العريجاء الغربي,5072.463768115942,165,5518.146358006711,4524.765789607182,sale
منطقة الرياض,الرياض,العريجاء الوسطى,4875.0,52,11412.744041391394,28935.802920621987,sale
منطقة الرياض,الرياض,العزيزية,4000.0,77,12426.614217983291,31459.350782525376,sale
منطقة الرياض,الرياض,العقيق,12003.201707577375,102,11905.251915140732,4661.651552853983,sale
منطقة الرياض,الرياض,العلا,745.3757159221077,47,785.0837215974892,233.62450373724735,sale
منطقة الرياض,الرياض,العليا,8058.608058608059,85,11293.262749408566,8533.30082407465,sale
منطقة الرياض,الرياض,العمل,6679.775280898876,31,8513.782750717566,4894.600886362737,sale
منطقة الرياض,الرياض,العوالي,4533.333333333333,498,8412.889157792379,23042.11009766375,sale
منطقة الرياض,الرياض,العود,4531.25,17,5899.720282278059,3864.890683059182,sale
منطقة الرياض,الرياض,الغدير,12000.0,24,11365.488009450813,5521.7345262694,sale
منطقة الرياض,الرياض,الغنامية,1250.0,63,1694.8530992880694,1091.6064846118738,sale
منطقة الرياض,الرياض,الفاروق,5150.0,44,5708.939095397018,2350.6909034195137,sale
منطقة الرياض,الرياض,الفرسان,792.5052219321149,10,828.5120192648565,175.90826861861802,sale
منطقة الرياض,الرياض,الفلاح,11479.574350469873,44,11700.662725670096,2538.568778833934,sale
منطقة الرياض,الرياض,الفوطة,15688.744163185056,10,20319.615583108414,19762.971240577066,sale
منطقة الرياض,الرياض,الفيحاء,6813.725490196079,107,6411.395152512016,1635.1094117639095,sale
منطقة الرياض,الرياض,الفيصلية,4000.599793174767,20,4504.133240851847,1755.0570299553087,sale
منطقة الرياض,الرياض,القادسية,5770.7942464040025,868,6530.9515696976105,10192.084080280229,sale
منطقة الرياض,الرياض,القدس,8281.573498964803,65,8612.974727284878,3802.7885221348815,sale
منطقة الرياض,الرياض,القيروان,12178.082191780823,219,13163.175926100737,8901.410928853453,sale
منطقة الرياض,الرياض,المؤتمرات,10951.31086142322,28,12613.171403230333,5576.559810122811,sale
منطقة الرياض,الرياض,المحمدية,15217.391304347826,23,16004.415211662865,4963.71419766962,sale
منطقة الرياض,الرياض,المربع,10000.0,27,11049.538894790465,6613.768084412891,sale
منطقة الرياض,الرياض,المرجان,4802.25988700565,311,8158.888176490752,19117.875377065164,sale
منطقة الرياض,الرياض,المرسلات,11350.0,28,11907.911503486115,5832.681635176,sale
منطقة الرياض,الرياض,المرقب,7983.682983682984,22,8286.981075647609,6052.51148084059,sale
منطقة الرياض,الرياض,المروة,3551.0204081632655,141,14663.822023492283,37218.165030456184,sale
منطقة الرياض,الرياض,المروج,10880.0,19,13912.441979408944,9050.675019494869,sale
منطقة الرياض,الرياض,المشاعل,3000.7203389830506,15,3042.5381195563045,1239.976118869381,sale
منطقة الرياض,الرياض,المشرق,950.0491803278688,46,1205.7819506033447,784.3951301128274,sale
منطقة الرياض,الرياض,المصانع,3056.2412435786246,84,13689.967983815623,32735.37884162848,sale
منطقة الرياض,الرياض,المصفاة,2000.1632564214192,65,2286.607766505089,1295.4765747376318,sale
منطقة الرياض,الرياض,المصيف,10207.208521815264,30,10860.485332971646,4660.373972107173,sale
منطقة الرياض,الرياض,المعذر,18074.074074074073,4,17371.327891261735,6111.704046901863,sale
منطقة الرياض,الرياض,المعذر الشمالي,11195.652173913044,5,10990.518262641026,1622.9541588467603,sale
