city,neighborhood,median_ppsqm,count,mean_ppsqm,ltype
عنيزة,الوهلان,2459.0163934426228,51,12474.529013068728,sale
عنيزة,وسط المدينة,1615.6462585034014,11,1603.780740121309,sale
عيون الجواء,النزهة,1086.9565217391305,7,13843.624379999106,sale
عيون الجواء,النهضة,2056.9620253164558,3,2040.3548631396734,sale
مكة المكرمة,اجياد,47368.42105263158,9,50633.899752102814,sale
مكة المكرمة,الاندلس,5920.508393285372,8,8574.993599971222,sale
مكة المكرمة,البحيرات,3254.437869822485,83,22138.69752158226,sale
مكة المكرمة,البيعة,3172.5888324873094,15,3150.7570108547975,sale
مكة المكرمة,التروية,3440.69087259008,38,30340.704454870967,sale
مكة المكرمة,التقوى,9771.98697068404,11,17361.40417287892,sale
مكة المكرمة,التنعيم,2990.4306220095696,21,18622.041031916342,sale
مكة المكرمة,التيسير,40299.36672423719,9,36367.07376823071,sale
مكة المكرمة,الجامعة,10629.943502824859,36,16324.746098176509,sale
مكة المكرمة,الجميزة,40128.35820895522,44,38847.811774648464,sale
مكة المكرمة,الحجون,15151.515151515152,7,18534.838730093725,sale
مكة المكرمة,الخالدية,6000.0,23,7865.021841453566,sale
مكة المكرمة,الخضراء,5500.0,53,15932.108002580939,sale
مكة المكرمة,الخنساء,8510.63829787234,23,11244.836829904032,sale
مكة المكرمة,الراشدية,3062.5,28,29856.746620469872,sale
مكة المكرمة,الرصيفة,5866.666666666667,31,18222.115637095998,sale
مكة المكرمة,الروابي,15327.169421487602,10,38381.77156190431,sale
مكة المكرمة,الروضة,8552.631578947368,3,19086.509376890503,sale
مكة المكرمة,الزاهر,4357.784431137725,10,13087.886118738326,sale
مكة المكرمة,الزهراء,9881.422924901186,15,9185.368927877096,sale
مكة المكرمة,السلام,3686.594202898551,14,20274.197382675582,sale
مكة المكرمة,السلامة,3570.1858804138815,86,20470.327399357262,sale
مكة المكرمة,الشرائع,3383.4586466165415,93,12300.399825112607,sale
مكة المكرمة,الشهداء,10400.0,15,9958.664291481991,sale
مكة المكرمة,الشوقية,3846.153846153846,221,22589.676112684363,sale
مكة المكرمة,العتيبية,10005.839416058394,7,13100.331756382599,sale
مكة المكرمة,العدل,4850.0,20,19187.995010328275,sale
مكة المكرمة,العزيزية,10144.927536231884,51,18965.589749309725,sale
مكة المكرمة,العسيلة,3659.3424090438657,22,17924.84841580738,sale
مكة المكرمة,العكيشية,3722.8260869565215,119,25912.320468391958,sale
مكة المكرمة,العوالي,4000.0,76,6579.0961955420935,sale
مكة المكرمة,الكعكية,4252.90117525316,22,15860.01824198288,sale
مكة المكرمة,الكوثر,3375.0,13,4498.14986968934,sale
مكة المكرمة,المرسلات,8660.0,19,10955.19623701751,sale
مكة المكرمة,المعابدة,23579.591179784322,18,23635.603765247488,sale
مكة المكرمة,المغمس,2762.4309392265195,11,17140.910569048174,sale
مكة المكرمة,الملك فهد,3818.1237680113272,108,17656.665437877124,sale
مكة المكرمة,النزهة,4262.295081967213,89,12277.141561183671,sale
مكة المكرمة,النسيم,6821.5238202924775,36,7959.849419560534,sale
مكة المكرمة,النوارية,3264.781491002571,186,25601.735655545388,sale
مكة المكرمة,الهجرة,4024.8063798788435,54,4562.742055031825,sale
مكة المكرمة,بطحاء قريش,4237.28813559322,282,22245.36145057758,sale
مكة المكرمة,جبل النور,8658.008658008657,11,22464.819576063277,sale
مكة المكرمة,جرول,35118.01957397813,10,35105.55356197083,sale
مكة المكرمة,جعرانة,2444.4444444444443,25,25374.70944773108,sale
مكة المكرمة,كدي,6256.647335594704,14,7766.5796969407165,sale
مكة المكرمة,وادي جليل,7596.153846153846,67,7965.593998420285,sale
نجران,الفهد,3000.0,5,3035.8173572459286,sale
وادي الدواسر,العقيق,2106.6666666666665,10,45936.54095133782,sale
ابها,الاندلس,221.1764705882353,4,477.2677187764465,rent
ابها,البحيره,1023.6720353428184,4,1009.7330910985954,rent
ابها,البديع,56.426332288401255,5,287.06827299362794,rent
ابها,التعاون,40.0,5,83.66070414667045,rent
ابها,الروابي,76.17068334350213,22,195.661729502691,rent
ابها,الروضة,65.10416666666667,7,107.70656023278012,rent
